date,station_id,location,rainfall_mm,temperature_c,humidity_pct,quality_flag
2024-03-02,SOL-DEMO-001,Solapur Demonstration,1.4,32.8,46,synthetic
2024-03-03,SOL-DEMO-001,Solapur Demonstration,0,29.7,48,synthetic
2024-03-04,SOL-DEMO-001,Solapur Demonstration,0,31.3,45,synthetic
2024-03-05,SOL-DEMO-001,Solapur Demonstration,4.3,29.0,40,synthetic
2024-03-06,SOL-DEMO-001,Solapur Demonstration,1.4,31.9,49,synthetic
2024-03-07,SOL-DEMO-001,Solapur Demonstration,3.8,28.6,53,synthetic
2024-03-08,SOL-DEMO-001,Solapur Demonstration,2.3,30.7,54,synthetic
2024-03-09,SOL-DEMO-001,Solapur Demonstration,0,31.6,45,synthetic
2024-03-10,SOL-DEMO-001,Solapur Demonstration,0,32.7,42,synthetic
2024-03-11,SOL-DEMO-001,Solapur Demonstration,0,30.4,37,synthetic
2024-03-12,SOL-DEMO-001,Solapur Demonstration,0,28.7,47,synthetic
2024-03-13,SOL-DEMO-001,Solapur Demonstration,3.3,30.3,44,synthetic
2024-03-14,SOL-DEMO-001,Solapur Demonstration,11.4,30.5,52,synthetic
2024-03-15,SOL-DEMO-001,Solapur Demonstration,3.7,31.1,45,synthetic
2024-03-16,SOL-DEMO-001,Solapur Demonstration,5.6,31.6,55,synthetic
2024-03-17,SOL-DEMO-001,Solapur Demonstration,0,32.0,48,synthetic
2024-03-18,SOL-DEMO-001,Solapur Demonstration,0,30.1,47,synthetic
2024-03-19,SOL-DEMO-001,Solapur Demonstration,0,30.2,41,synthetic
2024-03-20,SOL-DEMO-001,Solapur Demonstration,2.0,31.9,45,synthetic
2024-03-21,SOL-DEMO-001,Solapur Demonstration,1.1,31.3,46,synthetic
2024-03-22,SOL-DEMO-001,Solapur Demonstration,0,31.8,49,synthetic
2024-03-23,SOL-DEMO-001,Solapur Demonstration,0,29.8,48,synthetic
2024-03-24,SOL-DEMO-001,Solapur Demonstration,7.1,29.7,50,synthetic
2024-03-25,SOL-DEMO-001,Solapur Demonstration,11.8,30.8,47,synthetic
2024-03-26,SOL-DEMO-001,Solapur Demonstration,6.0,28.2,48,synthetic
2024-03-27,SOL-DEMO-001,Solapur Demonstration,0,28.8,57,synthetic
2024-03-28,SOL-DEMO-001,Solapur Demonstration,9.6,29.1,44,synthetic
2024-03-29,SOL-DEMO-001,Solapur Demonstration,2.1,31.2,45,synthetic
2024-03-30,SOL-DEMO-001,Solapur Demonstration,0,30.0,46,synthetic
2024-03-31,SOL-DEMO-001,Solapur Demonstration,0,29.5,49,synthetic
2024-04-01,SOL-DEMO-001,Solapur Demonstration,0,31.9,47,synthetic
2024-04-02,SOL-DEMO-001,Solapur Demonstration,0,30.5,45,synthetic
2024-04-03,SOL-DEMO-001,Solapur Demonstration,5.2,30.1,51,synthetic
2024-04-04,SOL-DEMO-001,Solapur Demonstration,0,32.3,45,synthetic
2024-04-05,SOL-DEMO-001,Solapur Demonstration,2.2,30.7,44,synthetic
2024-04-06,SOL-DEMO-001,Solapur Demonstration,0.6,30.7,46,synthetic
2024-04-07,SOL-DEMO-001,Solapur Demonstration,0,30.0,51,synthetic
2024-04-08,SOL-DEMO-001,Solapur Demonstration,1.4,31.6,56,synthetic
2024-04-09,SOL-DEMO-001,Solapur Demonstration,0,31.2,35,synthetic
2024-04-10,SOL-DEMO-001,Solapur Demonstration,3.1,32.0,51,synthetic
2024-04-11,SOL-DEMO-001,Solapur Demonstration,7.4,29.7,46,synthetic
2024-04-12,SOL-DEMO-001,Solapur Demonstration,2.2,30.9,47,synthetic
2024-04-13,SOL-DEMO-001,Solapur Demonstration,6.1,30.1,45,synthetic
2024-04-14,SOL-DEMO-001,Solapur Demonstration,4.8,29.1,44,synthetic
2024-04-15,SOL-DEMO-001,Solapur Demonstration,0,29.9,44,synthetic
2024-04-16,SOL-DEMO-001,Solapur Demonstration,10.8,29.7,43,synthetic
2024-04-17,SOL-DEMO-001,Solapur Demonstration,2.7,30.1,45,synthetic
2024-04-18,SOL-DEMO-001,Solapur Demonstration,0,29.6,58,synthetic
2024-04-19,SOL-DEMO-001,Solapur Demonstration,0,30.2,44,synthetic
2024-04-20,SOL-DEMO-001,Solapur Demonstration,6.4,29.9,46,synthetic
2024-04-21,SOL-DEMO-001,Solapur Demonstration,0,30.4,49,synthetic
2024-04-22,SOL-DEMO-001,Solapur Demonstration,2.2,30.6,53,synthetic
2024-04-23,SOL-DEMO-001,Solapur Demonstration,6.8,30.1,53,synthetic
2024-04-24,SOL-DEMO-001,Solapur Demonstration,3.5,30.7,54,synthetic
2024-04-25,SOL-DEMO-001,Solapur Demonstration,5.5,31.1,50,synthetic
2024-04-26,SOL-DEMO-001,Solapur Demonstration,0,30.4,44,synthetic
2024-04-27,SOL-DEMO-001,Solapur Demonstration,3.4,30.6,44,synthetic
2024-04-28,SOL-DEMO-001,Solapur Demonstration,0,29.8,43,synthetic
2024-04-29,SOL-DEMO-001,Solapur Demonstration,0.7,31.5,50,synthetic
2024-04-30,SOL-DEMO-001,Solapur Demonstration,4.2,31.1,52,synthetic
2024-05-01,SOL-DEMO-001,Solapur Demonstration,7.4,31.4,45,synthetic
2024-05-02,SOL-DEMO-001,Solapur Demonstration,1.6,29.8,48,synthetic
2024-05-03,SOL-DEMO-001,Solapur Demonstration,2.3,29.4,49,synthetic
2024-05-04,SOL-DEMO-001,Solapur Demonstration,0,29.8,47,synthetic
2024-05-05,SOL-DEMO-001,Solapur Demonstration,4.8,32.9,41,synthetic
2024-05-06,SOL-DEMO-001,Solapur Demonstration,9.0,29.4,50,synthetic
2024-05-07,SOL-DEMO-001,Solapur Demonstration,0,31.6,51,synthetic
2024-05-08,SOL-DEMO-001,Solapur Demonstration,0,32.5,46,synthetic
2024-05-09,SOL-DEMO-001,Solapur Demonstration,3.2,31.4,51,synthetic
2024-05-10,SOL-DEMO-001,Solapur Demonstration,0,31.7,41,synthetic
2024-05-11,SOL-DEMO-001,Solapur Demonstration,0,30.7,46,synthetic
2024-05-12,SOL-DEMO-001,Solapur Demonstration,7.2,29.3,46,synthetic
2024-05-13,SOL-DEMO-001,Solapur Demonstration,0.9,32.2,35,synthetic
2024-05-14,SOL-DEMO-001,Solapur Demonstration,7.5,30.3,41,synthetic
2024-05-15,SOL-DEMO-001,Solapur Demonstration,2.1,30.2,47,synthetic
2024-05-16,SOL-DEMO-001,Solapur Demonstration,3.9,28.6,47,synthetic
2024-05-17,SOL-DEMO-001,Solapur Demonstration,12.9,30.6,48,synthetic
2024-05-18,SOL-DEMO-001,Solapur Demonstration,1.0,30.7,56,synthetic
2024-05-19,SOL-DEMO-001,Solapur Demonstration,7.2,30.8,41,synthetic
2024-05-20,SOL-DEMO-001,Solapur Demonstration,4.2,29.5,46,synthetic
2024-05-21,SOL-DEMO-001,Solapur Demonstration,4.8,30.5,43,synthetic
2024-05-22,SOL-DEMO-001,Solapur Demonstration,5.8,30.2,45,synthetic
2024-05-23,SOL-DEMO-001,Solapur Demonstration,4.8,30.6,55,synthetic
2024-05-24,SOL-DEMO-001,Solapur Demonstration,0.8,31.6,53,synthetic
2024-05-25,SOL-DEMO-001,Solapur Demonstration,0,31.3,43,synthetic
2024-05-26,SOL-DEMO-001,Solapur Demonstration,0,28.0,51,synthetic
2024-05-27,SOL-DEMO-001,Solapur Demonstration,0,29.7,38,synthetic
2024-05-28,SOL-DEMO-001,Solapur Demonstration,0,30.8,52,synthetic
2024-05-29,SOL-DEMO-001,Solapur Demonstration,2.8,30.5,53,synthetic
2024-05-30,SOL-DEMO-001,Solapur Demonstration,9.4,28.6,48,synthetic
2024-05-31,SOL-DEMO-001,Solapur Demonstration,0,29.5,43,synthetic
2024-06-01,SOL-DEMO-001,Solapur Demonstration,0,30.1,45,synthetic
2024-06-02,SOL-DEMO-001,Solapur Demonstration,0,28.1,56,synthetic
2024-06-03,SOL-DEMO-001,Solapur Demonstration,5.5,30.9,53,synthetic
2024-06-04,SOL-DEMO-001,Solapur Demonstration,0,29.8,55,synthetic
2024-06-05,SOL-DEMO-001,Solapur Demonstration,4.4,28.9,44,synthetic
2024-06-06,SOL-DEMO-001,Solapur Demonstration,9.2,29.8,56,synthetic
2024-06-07,SOL-DEMO-001,Solapur Demonstration,8.0,30.3,49,synthetic
2024-06-08,SOL-DEMO-001,Solapur Demonstration,11.0,28.5,62,synthetic
2024-06-09,SOL-DEMO-001,Solapur Demonstration,5.9,29.3,49,synthetic
2024-06-10,SOL-DEMO-001,Solapur Demonstration,10.0,28.7,55,synthetic
2024-06-11,SOL-DEMO-001,Solapur Demonstration,2.6,29.3,51,synthetic
2024-06-12,SOL-DEMO-001,Solapur Demonstration,11.9,29.3,57,synthetic
2024-06-13,SOL-DEMO-001,Solapur Demonstration,8.3,29.1,55,synthetic
2024-06-14,SOL-DEMO-001,Solapur Demonstration,0,29.9,53,synthetic
2024-06-15,SOL-DEMO-001,Solapur Demonstration,12.8,29.5,63,synthetic
2024-06-16,SOL-DEMO-001,Solapur Demonstration,6.4,30.8,55,synthetic
2024-06-17,SOL-DEMO-001,Solapur Demonstration,8.8,30.4,61,synthetic
2024-06-18,SOL-DEMO-001,Solapur Demonstration,10.6,28.9,52,synthetic
2024-06-19,SOL-DEMO-001,Solapur Demonstration,7.3,27.8,61,synthetic
2024-06-20,SOL-DEMO-001,Solapur Demonstration,14.9,29.5,60,synthetic
2024-06-21,SOL-DEMO-001,Solapur Demonstration,6.7,27.8,57,synthetic
2024-06-22,SOL-DEMO-001,Solapur Demonstration,18.7,26.0,62,synthetic
2024-06-23,SOL-DEMO-001,Solapur Demonstration,11.9,29.0,63,synthetic
2024-06-24,SOL-DEMO-001,Solapur Demonstration,7.3,27.3,62,synthetic
2024-06-25,SOL-DEMO-001,Solapur Demonstration,10.8,25.8,66,synthetic
2024-06-26,SOL-DEMO-001,Solapur Demonstration,16.9,27.8,57,synthetic
2024-06-27,SOL-DEMO-001,Solapur Demonstration,14.2,29.1,65,synthetic
2024-06-28,SOL-DEMO-001,Solapur Demonstration,17.1,29.4,67,synthetic
2024-06-29,SOL-DEMO-001,Solapur Demonstration,9.1,27.9,66,synthetic
2024-06-30,SOL-DEMO-001,Solapur Demonstration,10.8,29.5,71,synthetic
2024-07-01,SOL-DEMO-001,Solapur Demonstration,7.3,27.9,62,synthetic
2024-07-02,SOL-DEMO-001,Solapur Demonstration,11.5,25.0,58,synthetic
2024-07-03,SOL-DEMO-001,Solapur Demonstration,13.7,27.6,62,synthetic
2024-07-04,SOL-DEMO-001,Solapur Demonstration,6.9,26.6,74,synthetic
2024-07-05,SOL-DEMO-001,Solapur Demonstration,20.2,27.8,72,synthetic
2024-07-06,SOL-DEMO-001,Solapur Demonstration,9.3,28.3,74,synthetic
2024-07-07,SOL-DEMO-001,Solapur Demonstration,17.3,26.8,66,synthetic
2024-07-08,SOL-DEMO-001,Solapur Demonstration,13.1,26.5,64,synthetic
2024-07-09,SOL-DEMO-001,Solapur Demonstration,14.8,26.7,71,synthetic
2024-07-10,SOL-DEMO-001,Solapur Demonstration,27.8,25.5,68,synthetic
2024-07-11,SOL-DEMO-001,Solapur Demonstration,5.6,27.9,74,synthetic
2024-07-12,SOL-DEMO-001,Solapur Demonstration,21.6,27.5,76,synthetic
2024-07-13,SOL-DEMO-001,Solapur Demonstration,15.6,24.4,69,synthetic
2024-07-14,SOL-DEMO-001,Solapur Demonstration,16.7,28.3,72,synthetic
2024-07-15,SOL-DEMO-001,Solapur Demonstration,11.9,26.4,74,synthetic
2024-07-16,SOL-DEMO-001,Solapur Demonstration,16.7,26.7,73,synthetic
2024-07-17,SOL-DEMO-001,Solapur Demonstration,18.1,31.8,69,synthetic
2024-07-18,SOL-DEMO-001,Solapur Demonstration,26.2,27.3,74,synthetic
2024-07-19,SOL-DEMO-001,Solapur Demonstration,17.6,25.9,72,synthetic
2024-07-20,SOL-DEMO-001,Solapur Demonstration,22.8,27.3,70,synthetic
2024-07-21,SOL-DEMO-001,Solapur Demonstration,18.5,25.9,74,synthetic
2024-07-22,SOL-DEMO-001,Solapur Demonstration,13.1,24.2,81,synthetic
2024-07-23,SOL-DEMO-001,Solapur Demonstration,18.0,26.5,75,synthetic
2024-07-24,SOL-DEMO-001,Solapur Demonstration,27.1,26.2,84,synthetic
2024-07-25,SOL-DEMO-001,Solapur Demonstration,23.0,26.2,82,synthetic
2024-07-26,SOL-DEMO-001,Solapur Demonstration,16.1,27.8,77,synthetic
2024-07-27,SOL-DEMO-001,Solapur Demonstration,31.6,28.8,69,synthetic
2024-07-28,SOL-DEMO-001,Solapur Demonstration,28.9,26.1,82,synthetic
2024-07-29,SOL-DEMO-001,Solapur Demonstration,19.6,26.6,78,synthetic
2024-07-30,SOL-DEMO-001,Solapur Demonstration,21.1,24.7,74,synthetic
2024-07-31,SOL-DEMO-001,Solapur Demonstration,21.7,26.0,76,synthetic
2024-08-01,SOL-DEMO-001,Solapur Demonstration,26.6,26.4,77,synthetic
2024-08-02,SOL-DEMO-001,Solapur Demonstration,22.5,26.4,82,synthetic
2024-08-03,SOL-DEMO-001,Solapur Demonstration,25.2,27.0,76,synthetic
2024-08-04,SOL-DEMO-001,Solapur Demonstration,18.3,24.9,74,synthetic
2024-08-05,SOL-DEMO-001,Solapur Demonstration,16.9,27.1,79,synthetic
2024-08-06,SOL-DEMO-001,Solapur Demonstration,14.6,23.9,83,synthetic
2024-08-07,SOL-DEMO-001,Solapur Demonstration,22.3,27.2,81,synthetic
2024-08-08,SOL-DEMO-001,Solapur Demonstration,19.6,24.6,81,synthetic
2024-08-09,SOL-DEMO-001,Solapur Demonstration,28.1,25.1,83,synthetic
2024-08-10,SOL-DEMO-001,Solapur Demonstration,17.2,24.9,73,synthetic
2024-08-11,SOL-DEMO-001,Solapur Demonstration,24.3,25.5,79,synthetic
2024-08-12,SOL-DEMO-001,Solapur Demonstration,23.2,25.3,75,synthetic
2024-08-13,SOL-DEMO-001,Solapur Demonstration,16.9,25.8,84,synthetic
2024-08-14,SOL-DEMO-001,Solapur Demonstration,18.9,25.6,76,synthetic
2024-08-15,SOL-DEMO-001,Solapur Demonstration,31.2,26.0,78,synthetic
2024-08-16,SOL-DEMO-001,Solapur Demonstration,29.1,25.4,87,synthetic
2024-08-17,SOL-DEMO-001,Solapur Demonstration,22.0,25.3,73,synthetic
2024-08-18,SOL-DEMO-001,Solapur Demonstration,31.7,25.5,86,synthetic
2024-08-19,SOL-DEMO-001,Solapur Demonstration,25.1,25.8,69,synthetic
2024-08-20,SOL-DEMO-001,Solapur Demonstration,21.0,25.9,78,synthetic
2024-08-21,SOL-DEMO-001,Solapur Demonstration,19.7,25.7,76,synthetic
2024-08-22,SOL-DEMO-001,Solapur Demonstration,23.6,24.4,87,synthetic
2024-08-23,SOL-DEMO-001,Solapur Demonstration,20.3,25.8,79,synthetic
2024-08-24,SOL-DEMO-001,Solapur Demonstration,31.0,22.7,81,synthetic
2024-08-25,SOL-DEMO-001,Solapur Demonstration,22.8,26.9,75,synthetic
2024-08-26,SOL-DEMO-001,Solapur Demonstration,24.5,27.4,85,synthetic
2024-08-27,SOL-DEMO-001,Solapur Demonstration,23.9,25.0,85,synthetic
2024-08-28,SOL-DEMO-001,Solapur Demonstration,27.1,25.5,79,synthetic
2024-08-29,SOL-DEMO-001,Solapur Demonstration,28.4,24.5,88,synthetic
2024-08-30,SOL-DEMO-001,Solapur Demonstration,24.8,25.2,81,synthetic
2024-08-31,SOL-DEMO-001,Solapur Demonstration,15.8,24.6,80,synthetic
2024-09-01,SOL-DEMO-001,Solapur Demonstration,21.5,26.6,80,synthetic
2024-09-02,SOL-DEMO-001,Solapur Demonstration,24.3,25.1,84,synthetic
2024-09-03,SOL-DEMO-001,Solapur Demonstration,23.4,25.5,79,synthetic
2024-09-04,SOL-DEMO-001,Solapur Demonstration,31.1,27.6,81,synthetic
2024-09-05,SOL-DEMO-001,Solapur Demonstration,24.7,23.3,79,synthetic
2024-09-06,SOL-DEMO-001,Solapur Demonstration,26.6,26.5,78,synthetic
2024-09-07,SOL-DEMO-001,Solapur Demonstration,30.6,23.8,75,synthetic
2024-09-08,SOL-DEMO-001,Solapur Demonstration,19.5,24.4,86,synthetic
2024-09-09,SOL-DEMO-001,Solapur Demonstration,26.2,24.7,88,synthetic
2024-09-10,SOL-DEMO-001,Solapur Demonstration,33.6,25.8,83,synthetic
2024-09-11,SOL-DEMO-001,Solapur Demonstration,21.6,25.5,81,synthetic
2024-09-12,SOL-DEMO-001,Solapur Demonstration,24.5,25.1,90,synthetic
2024-09-13,SOL-DEMO-001,Solapur Demonstration,18.7,27.3,84,synthetic
2024-09-14,SOL-DEMO-001,Solapur Demonstration,19.2,26.1,86,synthetic
2024-09-15,SOL-DEMO-001,Solapur Demonstration,14.5,24.3,74,synthetic
2024-09-16,SOL-DEMO-001,Solapur Demonstration,29.0,26.2,87,synthetic
2024-09-17,SOL-DEMO-001,Solapur Demonstration,12.4,30.8,73,synthetic
2024-09-18,SOL-DEMO-001,Solapur Demonstration,28.1,24.8,78,synthetic
2024-09-19,SOL-DEMO-001,Solapur Demonstration,31.8,25.9,79,synthetic
2024-09-20,SOL-DEMO-001,Solapur Demonstration,18.2,28.5,84,synthetic
2024-09-21,SOL-DEMO-001,Solapur Demonstration,24.7,25.2,87,synthetic
2024-09-22,SOL-DEMO-001,Solapur Demonstration,28.7,25.4,78,synthetic
2024-09-23,SOL-DEMO-001,Solapur Demonstration,23.4,25.7,80,synthetic
2024-09-24,SOL-DEMO-001,Solapur Demonstration,27.0,23.1,80,synthetic
2024-09-25,SOL-DEMO-001,Solapur Demonstration,16.3,25.2,76,synthetic
2024-09-26,SOL-DEMO-001,Solapur Demonstration,22.1,27.3,79,synthetic
2024-09-27,SOL-DEMO-001,Solapur Demonstration,17.1,26.0,76,synthetic
2024-09-28,SOL-DEMO-001,Solapur Demonstration,25.0,28.6,80,synthetic
2024-09-29,SOL-DEMO-001,Solapur Demonstration,21.6,28.2,77,synthetic
2024-09-30,SOL-DEMO-001,Solapur Demonstration,15.5,25.4,80,synthetic
2024-10-01,SOL-DEMO-001,Solapur Demonstration,29.5,25.3,73,synthetic
2024-10-02,SOL-DEMO-001,Solapur Demonstration,11.8,25.9,75,synthetic
2024-10-03,SOL-DEMO-001,Solapur Demonstration,17.4,25.5,88,synthetic
2024-10-04,SOL-DEMO-001,Solapur Demonstration,28.4,26.1,73,synthetic
2024-10-05,SOL-DEMO-001,Solapur Demonstration,16.0,23.6,64,synthetic
2024-10-06,SOL-DEMO-001,Solapur Demonstration,20.6,27.3,78,synthetic
2024-10-07,SOL-DEMO-001,Solapur Demonstration,21.8,27.6,69,synthetic
2024-10-08,SOL-DEMO-001,Solapur Demonstration,24.0,26.4,66,synthetic
2024-10-09,SOL-DEMO-001,Solapur Demonstration,27.8,25.8,72,synthetic
2024-10-10,SOL-DEMO-001,Solapur Demonstration,15.6,26.4,67,synthetic
2024-10-11,SOL-DEMO-001,Solapur Demonstration,22.4,25.7,74,synthetic
2024-10-12,SOL-DEMO-001,Solapur Demonstration,10.5,27.6,71,synthetic
2024-10-13,SOL-DEMO-001,Solapur Demonstration,19.3,27.9,64,synthetic
2024-10-14,SOL-DEMO-001,Solapur Demonstration,14.1,27.5,73,synthetic
2024-10-15,SOL-DEMO-001,Solapur Demonstration,19.1,25.8,71,synthetic
2024-10-16,SOL-DEMO-001,Solapur Demonstration,14.8,26.9,68,synthetic
2024-10-17,SOL-DEMO-001,Solapur Demonstration,17.3,28.7,71,synthetic
2024-10-18,SOL-DEMO-001,Solapur Demonstration,12.1,25.7,69,synthetic
2024-10-19,SOL-DEMO-001,Solapur Demonstration,19.1,28.2,71,synthetic
2024-10-20,SOL-DEMO-001,Solapur Demonstration,11.2,26.4,65,synthetic
2024-10-21,SOL-DEMO-001,Solapur Demonstration,5.0,28.0,51,synthetic
2024-10-22,SOL-DEMO-001,Solapur Demonstration,16.1,28.4,69,synthetic
2024-10-23,SOL-DEMO-001,Solapur Demonstration,15.2,26.5,71,synthetic
2024-10-24,SOL-DEMO-001,Solapur Demonstration,8.1,27.8,74,synthetic
2024-10-25,SOL-DEMO-001,Solapur Demonstration,7.9,26.2,71,synthetic
2024-10-26,SOL-DEMO-001,Solapur Demonstration,8.8,28.0,68,synthetic
2024-10-27,SOL-DEMO-001,Solapur Demonstration,12.0,28.0,58,synthetic
2024-10-28,SOL-DEMO-001,Solapur Demonstration,14.1,27.6,58,synthetic
2024-10-29,SOL-DEMO-001,Solapur Demonstration,10.0,27.7,57,synthetic
2024-10-30,SOL-DEMO-001,Solapur Demonstration,24.0,27.2,58,synthetic
2024-10-31,SOL-DEMO-001,Solapur Demonstration,14.3,29.6,61,synthetic
2024-11-01,SOL-DEMO-001,Solapur Demonstration,11.2,28.9,64,synthetic
2024-11-02,SOL-DEMO-001,Solapur Demonstration,14.3,29.7,65,synthetic
2024-11-03,SOL-DEMO-001,Solapur Demonstration,4.0,30.6,56,synthetic
2024-11-04,SOL-DEMO-001,Solapur Demonstration,13.8,29.4,59,synthetic
2024-11-05,SOL-DEMO-001,Solapur Demonstration,4.6,30.4,58,synthetic
2024-11-06,SOL-DEMO-001,Solapur Demonstration,7.5,27.6,56,synthetic
2024-11-07,SOL-DEMO-001,Solapur Demonstration,9.0,28.7,52,synthetic
2024-11-08,SOL-DEMO-001,Solapur Demonstration,10.8,29.8,52,synthetic
2024-11-09,SOL-DEMO-001,Solapur Demonstration,4.5,26.3,59,synthetic
2024-11-10,SOL-DEMO-001,Solapur Demonstration,16.3,27.5,60,synthetic
2024-11-11,SOL-DEMO-001,Solapur Demonstration,11.1,29.4,50,synthetic
2024-11-12,SOL-DEMO-001,Solapur Demonstration,13.9,29.6,50,synthetic
2024-11-13,SOL-DEMO-001,Solapur Demonstration,5.3,30.1,63,synthetic
2024-11-14,SOL-DEMO-001,Solapur Demonstration,4.6,29.5,55,synthetic
2024-11-15,SOL-DEMO-001,Solapur Demonstration,1.0,28.2,50,synthetic
2024-11-16,SOL-DEMO-001,Solapur Demonstration,5.6,28.3,56,synthetic
2024-11-17,SOL-DEMO-001,Solapur Demonstration,1.3,30.6,52,synthetic
2024-11-18,SOL-DEMO-001,Solapur Demonstration,0,31.0,44,synthetic
2024-11-19,SOL-DEMO-001,Solapur Demonstration,3.4,31.6,41,synthetic
2024-11-20,SOL-DEMO-001,Solapur Demonstration,0,29.1,51,synthetic
2024-11-21,SOL-DEMO-001,Solapur Demonstration,2.7,29.5,52,synthetic
