date,area_id,area_name,sector,demand_mld,temperature_c,day_of_week,quality_flag
2024-05-28,SOL-DEMO,Solapur Demonstration,domestic,425.4,30.8,1,synthetic
2024-05-29,SOL-DEMO,Solapur Demonstration,domestic,419.7,30.5,2,synthetic
2024-05-30,SOL-DEMO,Solapur Demonstration,domestic,412.5,28.6,3,synthetic
2024-05-31,SOL-DEMO,Solapur Demonstration,domestic,425.6,29.5,4,synthetic
2024-06-01,SOL-DEMO,Solapur Demonstration,domestic,411.8,30.1,5,synthetic
2024-06-02,SOL-DEMO,Solapur Demonstration,domestic,412.3,28.1,6,synthetic
2024-06-03,SOL-DEMO,Solapur Demonstration,domestic,425.7,30.9,0,synthetic
2024-06-04,SOL-DEMO,Solapur Demonstration,domestic,423.8,29.8,1,synthetic
2024-06-05,SOL-DEMO,Solapur Demonstration,domestic,430.9,28.9,2,synthetic
2024-06-06,SOL-DEMO,Solapur Demonstration,domestic,429.1,29.8,3,synthetic
2024-06-07,SOL-DEMO,Solapur Demonstration,domestic,427.6,30.3,4,synthetic
2024-06-08,SOL-DEMO,Solapur Demonstration,domestic,422.1,28.5,5,synthetic
2024-06-09,SOL-DEMO,Solapur Demonstration,domestic,416.7,29.3,6,synthetic
2024-06-10,SOL-DEMO,Solapur Demonstration,domestic,427.3,28.7,0,synthetic
2024-06-11,SOL-DEMO,Solapur Demonstration,domestic,416.7,29.3,1,synthetic
2024-06-12,SOL-DEMO,Solapur Demonstration,domestic,426.6,29.3,2,synthetic
2024-06-13,SOL-DEMO,Solapur Demonstration,domestic,420.4,29.1,3,synthetic
2024-06-14,SOL-DEMO,Solapur Demonstration,domestic,422.4,29.9,4,synthetic
2024-06-15,SOL-DEMO,Solapur Demonstration,domestic,414.9,29.5,5,synthetic
2024-06-16,SOL-DEMO,Solapur Demonstration,domestic,415.7,30.8,6,synthetic
2024-06-17,SOL-DEMO,Solapur Demonstration,domestic,422.0,30.4,0,synthetic
2024-06-18,SOL-DEMO,Solapur Demonstration,domestic,425.3,28.9,1,synthetic
2024-06-19,SOL-DEMO,Solapur Demonstration,domestic,421.1,27.8,2,synthetic
2024-06-20,SOL-DEMO,Solapur Demonstration,domestic,428.1,29.5,3,synthetic
2024-06-21,SOL-DEMO,Solapur Demonstration,domestic,416.9,27.8,4,synthetic
2024-06-22,SOL-DEMO,Solapur Demonstration,domestic,411.3,26.0,5,synthetic
2024-06-23,SOL-DEMO,Solapur Demonstration,domestic,408.7,29.0,6,synthetic
2024-06-24,SOL-DEMO,Solapur Demonstration,domestic,421.0,27.3,0,synthetic
2024-06-25,SOL-DEMO,Solapur Demonstration,domestic,426.9,25.8,1,synthetic
2024-06-26,SOL-DEMO,Solapur Demonstration,domestic,415.3,27.8,2,synthetic
2024-06-27,SOL-DEMO,Solapur Demonstration,domestic,424.3,29.1,3,synthetic
2024-06-28,SOL-DEMO,Solapur Demonstration,domestic,424.7,29.4,4,synthetic
2024-06-29,SOL-DEMO,Solapur Demonstration,domestic,413.0,27.9,5,synthetic
2024-06-30,SOL-DEMO,Solapur Demonstration,domestic,414.8,29.5,6,synthetic
2024-07-01,SOL-DEMO,Solapur Demonstration,domestic,416.6,27.9,0,synthetic
2024-07-02,SOL-DEMO,Solapur Demonstration,domestic,410.9,25.0,1,synthetic
2024-07-03,SOL-DEMO,Solapur Demonstration,domestic,423.2,27.6,2,synthetic
2024-07-04,SOL-DEMO,Solapur Demonstration,domestic,426.2,26.6,3,synthetic
2024-07-05,SOL-DEMO,Solapur Demonstration,domestic,427.6,27.8,4,synthetic
2024-07-06,SOL-DEMO,Solapur Demonstration,domestic,416.8,28.3,5,synthetic
2024-07-07,SOL-DEMO,Solapur Demonstration,domestic,416.7,26.8,6,synthetic
2024-07-08,SOL-DEMO,Solapur Demonstration,domestic,422.9,26.5,0,synthetic
2024-07-09,SOL-DEMO,Solapur Demonstration,domestic,429.2,26.7,1,synthetic
2024-07-10,SOL-DEMO,Solapur Demonstration,domestic,416.7,25.5,2,synthetic
2024-07-11,SOL-DEMO,Solapur Demonstration,domestic,425.9,27.9,3,synthetic
2024-07-12,SOL-DEMO,Solapur Demonstration,domestic,421.4,27.5,4,synthetic
2024-07-13,SOL-DEMO,Solapur Demonstration,domestic,414.3,24.4,5,synthetic
2024-07-14,SOL-DEMO,Solapur Demonstration,domestic,420.9,28.3,6,synthetic
2024-07-15,SOL-DEMO,Solapur Demonstration,domestic,411.4,26.4,0,synthetic
2024-07-16,SOL-DEMO,Solapur Demonstration,domestic,416.1,26.7,1,synthetic
2024-07-17,SOL-DEMO,Solapur Demonstration,domestic,426.4,31.8,2,synthetic
2024-07-18,SOL-DEMO,Solapur Demonstration,domestic,432.0,27.3,3,synthetic
2024-07-19,SOL-DEMO,Solapur Demonstration,domestic,412.9,25.9,4,synthetic
2024-07-20,SOL-DEMO,Solapur Demonstration,domestic,410.4,27.3,5,synthetic
2024-07-21,SOL-DEMO,Solapur Demonstration,domestic,408.7,25.9,6,synthetic
2024-07-22,SOL-DEMO,Solapur Demonstration,domestic,414.2,24.2,0,synthetic
2024-07-23,SOL-DEMO,Solapur Demonstration,domestic,415.7,26.5,1,synthetic
2024-07-24,SOL-DEMO,Solapur Demonstration,domestic,425.6,26.2,2,synthetic
2024-07-25,SOL-DEMO,Solapur Demonstration,domestic,413.4,26.2,3,synthetic
2024-07-26,SOL-DEMO,Solapur Demonstration,domestic,425.1,27.8,4,synthetic
2024-07-27,SOL-DEMO,Solapur Demonstration,domestic,428.4,28.8,5,synthetic
2024-07-28,SOL-DEMO,Solapur Demonstration,domestic,409.6,26.1,6,synthetic
2024-07-29,SOL-DEMO,Solapur Demonstration,domestic,414.3,26.6,0,synthetic
2024-07-30,SOL-DEMO,Solapur Demonstration,domestic,412.8,24.7,1,synthetic
2024-07-31,SOL-DEMO,Solapur Demonstration,domestic,407.0,26.0,2,synthetic
2024-08-01,SOL-DEMO,Solapur Demonstration,domestic,425.0,26.4,3,synthetic
2024-08-02,SOL-DEMO,Solapur Demonstration,domestic,414.1,26.4,4,synthetic
2024-08-03,SOL-DEMO,Solapur Demonstration,domestic,410.1,27.0,5,synthetic
2024-08-04,SOL-DEMO,Solapur Demonstration,domestic,417.6,24.9,6,synthetic
2024-08-05,SOL-DEMO,Solapur Demonstration,domestic,417.5,27.1,0,synthetic
2024-08-06,SOL-DEMO,Solapur Demonstration,domestic,411.0,23.9,1,synthetic
2024-08-07,SOL-DEMO,Solapur Demonstration,domestic,433.5,27.2,2,synthetic
2024-08-08,SOL-DEMO,Solapur Demonstration,domestic,421.2,24.6,3,synthetic
2024-08-09,SOL-DEMO,Solapur Demonstration,domestic,411.7,25.1,4,synthetic
2024-08-10,SOL-DEMO,Solapur Demonstration,domestic,413.6,24.9,5,synthetic
2024-08-11,SOL-DEMO,Solapur Demonstration,domestic,414.7,25.5,6,synthetic
2024-08-12,SOL-DEMO,Solapur Demonstration,domestic,422.3,25.3,0,synthetic
2024-08-13,SOL-DEMO,Solapur Demonstration,domestic,416.2,25.8,1,synthetic
2024-08-14,SOL-DEMO,Solapur Demonstration,domestic,420.4,25.6,2,synthetic
2024-08-15,SOL-DEMO,Solapur Demonstration,domestic,427.2,26.0,3,synthetic
2024-08-16,SOL-DEMO,Solapur Demonstration,domestic,417.1,25.4,4,synthetic
2024-08-17,SOL-DEMO,Solapur Demonstration,domestic,405.3,25.3,5,synthetic
2024-08-18,SOL-DEMO,Solapur Demonstration,domestic,419.7,25.5,6,synthetic
2024-08-19,SOL-DEMO,Solapur Demonstration,domestic,418.9,25.8,0,synthetic
2024-08-20,SOL-DEMO,Solapur Demonstration,domestic,421.7,25.9,1,synthetic
2024-08-21,SOL-DEMO,Solapur Demonstration,domestic,413.1,25.7,2,synthetic
2024-08-22,SOL-DEMO,Solapur Demonstration,domestic,408.7,24.4,3,synthetic
2024-08-23,SOL-DEMO,Solapur Demonstration,domestic,417.4,25.8,4,synthetic
2024-08-24,SOL-DEMO,Solapur Demonstration,domestic,411.4,22.7,5,synthetic
2024-08-25,SOL-DEMO,Solapur Demonstration,domestic,412.4,26.9,6,synthetic
2024-08-26,SOL-DEMO,Solapur Demonstration,domestic,418.1,27.4,0,synthetic
2024-08-27,SOL-DEMO,Solapur Demonstration,domestic,417.5,25.0,1,synthetic
2024-08-28,SOL-DEMO,Solapur Demonstration,domestic,428.7,25.5,2,synthetic
2024-08-29,SOL-DEMO,Solapur Demonstration,domestic,422.3,24.5,3,synthetic
2024-08-30,SOL-DEMO,Solapur Demonstration,domestic,421.8,25.2,4,synthetic
2024-08-31,SOL-DEMO,Solapur Demonstration,domestic,410.3,24.6,5,synthetic
2024-09-01,SOL-DEMO,Solapur Demonstration,domestic,408.4,26.6,6,synthetic
2024-09-02,SOL-DEMO,Solapur Demonstration,domestic,411.4,25.1,0,synthetic
2024-09-03,SOL-DEMO,Solapur Demonstration,domestic,417.5,25.5,1,synthetic
2024-09-04,SOL-DEMO,Solapur Demonstration,domestic,420.4,27.6,2,synthetic
2024-09-05,SOL-DEMO,Solapur Demonstration,domestic,423.5,23.3,3,synthetic
2024-09-06,SOL-DEMO,Solapur Demonstration,domestic,410.2,26.5,4,synthetic
2024-09-07,SOL-DEMO,Solapur Demonstration,domestic,403.7,23.8,5,synthetic
2024-09-08,SOL-DEMO,Solapur Demonstration,domestic,402.2,24.4,6,synthetic
2024-09-09,SOL-DEMO,Solapur Demonstration,domestic,417.4,24.7,0,synthetic
2024-09-10,SOL-DEMO,Solapur Demonstration,domestic,410.0,25.8,1,synthetic
2024-09-11,SOL-DEMO,Solapur Demonstration,domestic,418.8,25.5,2,synthetic
2024-09-12,SOL-DEMO,Solapur Demonstration,domestic,418.7,25.1,3,synthetic
2024-09-13,SOL-DEMO,Solapur Demonstration,domestic,415.4,27.3,4,synthetic
2024-09-14,SOL-DEMO,Solapur Demonstration,domestic,403.4,26.1,5,synthetic
2024-09-15,SOL-DEMO,Solapur Demonstration,domestic,407.4,24.3,6,synthetic
2024-09-16,SOL-DEMO,Solapur Demonstration,domestic,417.8,26.2,0,synthetic
2024-09-17,SOL-DEMO,Solapur Demonstration,domestic,432.0,30.8,1,synthetic
2024-09-18,SOL-DEMO,Solapur Demonstration,domestic,420.0,24.8,2,synthetic
2024-09-19,SOL-DEMO,Solapur Demonstration,domestic,423.6,25.9,3,synthetic
2024-09-20,SOL-DEMO,Solapur Demonstration,domestic,418.9,28.5,4,synthetic
2024-09-21,SOL-DEMO,Solapur Demonstration,domestic,413.5,25.2,5,synthetic
2024-09-22,SOL-DEMO,Solapur Demonstration,domestic,412.0,25.4,6,synthetic
2024-09-23,SOL-DEMO,Solapur Demonstration,domestic,416.8,25.7,0,synthetic
2024-09-24,SOL-DEMO,Solapur Demonstration,domestic,411.8,23.1,1,synthetic
2024-09-25,SOL-DEMO,Solapur Demonstration,domestic,411.6,25.2,2,synthetic
2024-09-26,SOL-DEMO,Solapur Demonstration,domestic,413.6,27.3,3,synthetic
2024-09-27,SOL-DEMO,Solapur Demonstration,domestic,413.8,26.0,4,synthetic
2024-09-28,SOL-DEMO,Solapur Demonstration,domestic,409.4,28.6,5,synthetic
2024-09-29,SOL-DEMO,Solapur Demonstration,domestic,409.2,28.2,6,synthetic
2024-09-30,SOL-DEMO,Solapur Demonstration,domestic,421.1,25.4,0,synthetic
2024-10-01,SOL-DEMO,Solapur Demonstration,domestic,419.6,25.3,1,synthetic
2024-10-02,SOL-DEMO,Solapur Demonstration,domestic,417.3,25.9,2,synthetic
2024-10-03,SOL-DEMO,Solapur Demonstration,domestic,413.6,25.5,3,synthetic
2024-10-04,SOL-DEMO,Solapur Demonstration,domestic,421.0,26.1,4,synthetic
2024-10-05,SOL-DEMO,Solapur Demonstration,domestic,411.8,23.6,5,synthetic
2024-10-06,SOL-DEMO,Solapur Demonstration,domestic,416.8,27.3,6,synthetic
2024-10-07,SOL-DEMO,Solapur Demonstration,domestic,425.1,27.6,0,synthetic
2024-10-08,SOL-DEMO,Solapur Demonstration,domestic,415.2,26.4,1,synthetic
2024-10-09,SOL-DEMO,Solapur Demonstration,domestic,423.5,25.8,2,synthetic
2024-10-10,SOL-DEMO,Solapur Demonstration,domestic,419.2,26.4,3,synthetic
2024-10-11,SOL-DEMO,Solapur Demonstration,domestic,424.9,25.7,4,synthetic
2024-10-12,SOL-DEMO,Solapur Demonstration,domestic,413.6,27.6,5,synthetic
2024-10-13,SOL-DEMO,Solapur Demonstration,domestic,402.4,27.9,6,synthetic
2024-10-14,SOL-DEMO,Solapur Demonstration,domestic,422.2,27.5,0,synthetic
2024-10-15,SOL-DEMO,Solapur Demonstration,domestic,417.9,25.8,1,synthetic
2024-10-16,SOL-DEMO,Solapur Demonstration,domestic,412.1,26.9,2,synthetic
2024-10-17,SOL-DEMO,Solapur Demonstration,domestic,410.2,28.7,3,synthetic
2024-10-18,SOL-DEMO,Solapur Demonstration,domestic,425.3,25.7,4,synthetic
2024-10-19,SOL-DEMO,Solapur Demonstration,domestic,417.1,28.2,5,synthetic
2024-10-20,SOL-DEMO,Solapur Demonstration,domestic,400.5,26.4,6,synthetic
2024-10-21,SOL-DEMO,Solapur Demonstration,domestic,420.2,28.0,0,synthetic
2024-10-22,SOL-DEMO,Solapur Demonstration,domestic,427.5,28.4,1,synthetic
2024-10-23,SOL-DEMO,Solapur Demonstration,domestic,429.1,26.5,2,synthetic
2024-10-24,SOL-DEMO,Solapur Demonstration,domestic,411.7,27.8,3,synthetic
2024-10-25,SOL-DEMO,Solapur Demonstration,domestic,424.0,26.2,4,synthetic
2024-10-26,SOL-DEMO,Solapur Demonstration,domestic,417.7,28.0,5,synthetic
2024-10-27,SOL-DEMO,Solapur Demonstration,domestic,409.7,28.0,6,synthetic
2024-10-28,SOL-DEMO,Solapur Demonstration,domestic,424.3,27.6,0,synthetic
2024-10-29,SOL-DEMO,Solapur Demonstration,domestic,422.6,27.7,1,synthetic
2024-10-30,SOL-DEMO,Solapur Demonstration,domestic,427.8,27.2,2,synthetic
2024-10-31,SOL-DEMO,Solapur Demonstration,domestic,426.1,29.6,3,synthetic
2024-11-01,SOL-DEMO,Solapur Demonstration,domestic,415.5,28.9,4,synthetic
2024-11-02,SOL-DEMO,Solapur Demonstration,domestic,409.6,29.7,5,synthetic
2024-11-03,SOL-DEMO,Solapur Demonstration,domestic,419.0,30.6,6,synthetic
2024-11-04,SOL-DEMO,Solapur Demonstration,domestic,424.7,29.4,0,synthetic
