date,reservoir_id,reservoir_name,storage_pct,capacity_mcm,inflow_mcm,outflow_mcm,quality_flag
2024-03-03,UJANI-DEMO-001,Ujani Demonstration,26.0,100.0,2.24,12.22,synthetic
2024-03-04,UJANI-DEMO-001,Ujani Demonstration,24,100.0,4.58,14.03,synthetic
2024-03-05,UJANI-DEMO-001,Ujani Demonstration,24,100.0,10.86,11.38,synthetic
2024-03-06,UJANI-DEMO-001,Ujani Demonstration,24,100.0,7.84,12.42,synthetic
2024-03-07,UJANI-DEMO-001,Ujani Demonstration,24,100.0,11.34,12.29,synthetic
2024-03-08,UJANI-DEMO-001,Ujani Demonstration,24,100.0,8.01,12.6,synthetic
2024-03-09,UJANI-DEMO-001,Ujani Demonstration,24,100.0,3.38,12.85,synthetic
2024-03-10,UJANI-DEMO-001,Ujani Demonstration,24,100.0,3.54,13.02,synthetic
2024-03-11,UJANI-DEMO-001,Ujani Demonstration,24,100.0,3.1,12.26,synthetic
2024-03-12,UJANI-DEMO-001,Ujani Demonstration,24,100.0,3.57,12.58,synthetic
2024-03-13,UJANI-DEMO-001,Ujani Demonstration,24,100.0,9.69,12.24,synthetic
2024-03-14,UJANI-DEMO-001,Ujani Demonstration,26.4,100.0,23.98,13.16,synthetic
2024-03-15,UJANI-DEMO-001,Ujani Demonstration,25.9,100.0,11.22,13.34,synthetic
2024-03-16,UJANI-DEMO-001,Ujani Demonstration,25.8,100.0,11.17,11.78,synthetic
2024-03-17,UJANI-DEMO-001,Ujani Demonstration,24,100.0,2.09,11.13,synthetic
2024-03-18,UJANI-DEMO-001,Ujani Demonstration,24,100.0,0,11.55,synthetic
2024-03-19,UJANI-DEMO-001,Ujani Demonstration,24,100.0,2.15,12.81,synthetic
2024-03-20,UJANI-DEMO-001,Ujani Demonstration,24,100.0,8.23,12.23,synthetic
2024-03-21,UJANI-DEMO-001,Ujani Demonstration,24,100.0,6.75,11.91,synthetic
2024-03-22,UJANI-DEMO-001,Ujani Demonstration,24,100.0,0.22,13.37,synthetic
2024-03-23,UJANI-DEMO-001,Ujani Demonstration,24,100.0,1.77,12.14,synthetic
2024-03-24,UJANI-DEMO-001,Ujani Demonstration,24.5,100.0,15.42,13.27,synthetic
2024-03-25,UJANI-DEMO-001,Ujani Demonstration,27.4,100.0,25.37,12.2,synthetic
2024-03-26,UJANI-DEMO-001,Ujani Demonstration,28.5,100.0,17.82,12.55,synthetic
2024-03-27,UJANI-DEMO-001,Ujani Demonstration,25.8,100.0,2.02,14.34,synthetic
2024-03-28,UJANI-DEMO-001,Ujani Demonstration,28.5,100.0,24.73,12.35,synthetic
2024-03-29,UJANI-DEMO-001,Ujani Demonstration,27.5,100.0,6.85,11.65,synthetic
2024-03-30,UJANI-DEMO-001,Ujani Demonstration,26.1,100.0,4.06,10.38,synthetic
2024-03-31,UJANI-DEMO-001,Ujani Demonstration,24.7,100.0,5.24,11.75,synthetic
2024-04-01,UJANI-DEMO-001,Ujani Demonstration,24,100.0,3.63,11.0,synthetic
2024-04-02,UJANI-DEMO-001,Ujani Demonstration,24,100.0,4.76,12.21,synthetic
2024-04-03,UJANI-DEMO-001,Ujani Demonstration,24.2,100.0,11.21,10.08,synthetic
2024-04-04,UJANI-DEMO-001,Ujani Demonstration,24,100.0,4.38,11.8,synthetic
2024-04-05,UJANI-DEMO-001,Ujani Demonstration,24,100.0,7.64,11.35,synthetic
2024-04-06,UJANI-DEMO-001,Ujani Demonstration,24,100.0,0,12.86,synthetic
2024-04-07,UJANI-DEMO-001,Ujani Demonstration,24,100.0,1.18,13.66,synthetic
2024-04-08,UJANI-DEMO-001,Ujani Demonstration,24,100.0,2.99,12.88,synthetic
2024-04-09,UJANI-DEMO-001,Ujani Demonstration,24,100.0,1.61,11.92,synthetic
2024-04-10,UJANI-DEMO-001,Ujani Demonstration,24,100.0,10.21,12.68,synthetic
2024-04-11,UJANI-DEMO-001,Ujani Demonstration,24.4,100.0,13.5,11.62,synthetic
2024-04-12,UJANI-DEMO-001,Ujani Demonstration,24.1,100.0,11.21,12.8,synthetic
2024-04-13,UJANI-DEMO-001,Ujani Demonstration,25.3,100.0,17.55,12.1,synthetic
2024-04-14,UJANI-DEMO-001,Ujani Demonstration,25.1,100.0,12.59,13.36,synthetic
2024-04-15,UJANI-DEMO-001,Ujani Demonstration,24,100.0,5.56,12.34,synthetic
2024-04-16,UJANI-DEMO-001,Ujani Demonstration,25.7,100.0,19.65,11.72,synthetic
2024-04-17,UJANI-DEMO-001,Ujani Demonstration,24.6,100.0,8.68,13.86,synthetic
2024-04-18,UJANI-DEMO-001,Ujani Demonstration,24,100.0,4.8,13.27,synthetic
2024-04-19,UJANI-DEMO-001,Ujani Demonstration,24,100.0,2.48,12.17,synthetic
2024-04-20,UJANI-DEMO-001,Ujani Demonstration,24.7,100.0,14.78,11.56,synthetic
2024-04-21,UJANI-DEMO-001,Ujani Demonstration,24,100.0,1.5,13.3,synthetic
2024-04-22,UJANI-DEMO-001,Ujani Demonstration,24,100.0,7.46,13.3,synthetic
2024-04-23,UJANI-DEMO-001,Ujani Demonstration,24.6,100.0,15.77,13.07,synthetic
2024-04-24,UJANI-DEMO-001,Ujani Demonstration,24,100.0,8.75,11.84,synthetic
2024-04-25,UJANI-DEMO-001,Ujani Demonstration,24.8,100.0,15.48,11.96,synthetic
2024-04-26,UJANI-DEMO-001,Ujani Demonstration,24,100.0,2.03,12.79,synthetic
2024-04-27,UJANI-DEMO-001,Ujani Demonstration,24,100.0,8.85,12.51,synthetic
2024-04-28,UJANI-DEMO-001,Ujani Demonstration,24,100.0,3.31,11.8,synthetic
2024-04-29,UJANI-DEMO-001,Ujani Demonstration,24,100.0,2.45,12.76,synthetic
2024-04-30,UJANI-DEMO-001,Ujani Demonstration,24.9,100.0,15.57,11.32,synthetic
2024-05-01,UJANI-DEMO-001,Ujani Demonstration,26.1,100.0,18.28,12.79,synthetic
2024-05-02,UJANI-DEMO-001,Ujani Demonstration,25.5,100.0,8.58,11.33,synthetic
2024-05-03,UJANI-DEMO-001,Ujani Demonstration,24.9,100.0,9.8,12.65,synthetic
2024-05-04,UJANI-DEMO-001,Ujani Demonstration,24,100.0,4.99,12.96,synthetic
2024-05-05,UJANI-DEMO-001,Ujani Demonstration,24.1,100.0,13.03,12.35,synthetic
2024-05-06,UJANI-DEMO-001,Ujani Demonstration,26.2,100.0,20.67,11.39,synthetic
2024-05-07,UJANI-DEMO-001,Ujani Demonstration,24.1,100.0,4.25,13.56,synthetic
2024-05-08,UJANI-DEMO-001,Ujani Demonstration,24,100.0,3.43,12.2,synthetic
2024-05-09,UJANI-DEMO-001,Ujani Demonstration,24,100.0,7.59,12.8,synthetic
2024-05-10,UJANI-DEMO-001,Ujani Demonstration,24,100.0,7.19,13.99,synthetic
2024-05-11,UJANI-DEMO-001,Ujani Demonstration,24,100.0,2.58,11.86,synthetic
2024-05-12,UJANI-DEMO-001,Ujani Demonstration,24.7,100.0,14.28,11.1,synthetic
2024-05-13,UJANI-DEMO-001,Ujani Demonstration,24,100.0,5.07,13.31,synthetic
2024-05-14,UJANI-DEMO-001,Ujani Demonstration,24.1,100.0,13.03,12.44,synthetic
2024-05-15,UJANI-DEMO-001,Ujani Demonstration,24,100.0,4.91,11.72,synthetic
2024-05-16,UJANI-DEMO-001,Ujani Demonstration,24,100.0,8.94,11.9,synthetic
2024-05-17,UJANI-DEMO-001,Ujani Demonstration,26.7,100.0,24.35,11.89,synthetic
2024-05-18,UJANI-DEMO-001,Ujani Demonstration,25.4,100.0,6.52,12.51,synthetic
2024-05-19,UJANI-DEMO-001,Ujani Demonstration,25.7,100.0,13.17,11.74,synthetic
2024-05-20,UJANI-DEMO-001,Ujani Demonstration,26.0,100.0,12.17,10.99,synthetic
2024-05-21,UJANI-DEMO-001,Ujani Demonstration,26.2,100.0,14.39,13.58,synthetic
2024-05-22,UJANI-DEMO-001,Ujani Demonstration,26.0,100.0,12.71,13.42,synthetic
2024-05-23,UJANI-DEMO-001,Ujani Demonstration,26.9,100.0,16.22,12.02,synthetic
2024-05-24,UJANI-DEMO-001,Ujani Demonstration,25.5,100.0,5.16,11.56,synthetic
2024-05-25,UJANI-DEMO-001,Ujani Demonstration,24.3,100.0,5.7,11.39,synthetic
2024-05-26,UJANI-DEMO-001,Ujani Demonstration,24,100.0,0.21,11.74,synthetic
2024-05-27,UJANI-DEMO-001,Ujani Demonstration,24,100.0,2.58,12.68,synthetic
2024-05-28,UJANI-DEMO-001,Ujani Demonstration,24,100.0,5.31,11.41,synthetic
2024-05-29,UJANI-DEMO-001,Ujani Demonstration,24,100.0,5.83,11.79,synthetic
2024-05-30,UJANI-DEMO-001,Ujani Demonstration,26.0,100.0,19.1,10.01,synthetic
2024-05-31,UJANI-DEMO-001,Ujani Demonstration,24,100.0,1.58,13.56,synthetic
2024-06-01,UJANI-DEMO-001,Ujani Demonstration,24,100.0,7.2,12.25,synthetic
2024-06-02,UJANI-DEMO-001,Ujani Demonstration,24,100.0,3.21,12.0,synthetic
2024-06-03,UJANI-DEMO-001,Ujani Demonstration,24.1,100.0,11.31,10.99,synthetic
2024-06-04,UJANI-DEMO-001,Ujani Demonstration,24,100.0,0.09,11.31,synthetic
2024-06-05,UJANI-DEMO-001,Ujani Demonstration,24,100.0,9.56,11.37,synthetic
2024-06-06,UJANI-DEMO-001,Ujani Demonstration,25.4,100.0,19.42,12.95,synthetic
2024-06-07,UJANI-DEMO-001,Ujani Demonstration,27.1,100.0,19.23,11.78,synthetic
2024-06-08,UJANI-DEMO-001,Ujani Demonstration,29.7,100.0,24.82,12.73,synthetic
2024-06-09,UJANI-DEMO-001,Ujani Demonstration,31.1,100.0,18.03,11.96,synthetic
2024-06-10,UJANI-DEMO-001,Ujani Demonstration,33.1,100.0,20.66,11.56,synthetic
2024-06-11,UJANI-DEMO-001,Ujani Demonstration,32.0,100.0,7.48,12.21,synthetic
2024-06-12,UJANI-DEMO-001,Ujani Demonstration,35.0,100.0,26.88,13.44,synthetic
2024-06-13,UJANI-DEMO-001,Ujani Demonstration,37.3,100.0,22.42,11.96,synthetic
2024-06-14,UJANI-DEMO-001,Ujani Demonstration,34.9,100.0,0,10.79,synthetic
2024-06-15,UJANI-DEMO-001,Ujani Demonstration,38.0,100.0,25.33,11.4,synthetic
2024-06-16,UJANI-DEMO-001,Ujani Demonstration,39.2,100.0,17.19,11.56,synthetic
2024-06-17,UJANI-DEMO-001,Ujani Demonstration,40.4,100.0,16.87,11.4,synthetic
2024-06-18,UJANI-DEMO-001,Ujani Demonstration,43.5,100.0,24.37,10.22,synthetic
2024-06-19,UJANI-DEMO-001,Ujani Demonstration,44.4,100.0,15.57,11.59,synthetic
2024-06-20,UJANI-DEMO-001,Ujani Demonstration,48.4,100.0,28.5,10.46,synthetic
2024-06-21,UJANI-DEMO-001,Ujani Demonstration,50.2,100.0,18.91,10.56,synthetic
2024-06-22,UJANI-DEMO-001,Ujani Demonstration,56.3,100.0,38.52,10.68,synthetic
2024-06-23,UJANI-DEMO-001,Ujani Demonstration,58.7,100.0,21.21,10.28,synthetic
2024-06-24,UJANI-DEMO-001,Ujani Demonstration,59.0,100.0,13.45,12.22,synthetic
2024-06-25,UJANI-DEMO-001,Ujani Demonstration,61.3,100.0,21.67,11.45,synthetic
2024-06-26,UJANI-DEMO-001,Ujani Demonstration,65.9,100.0,33.42,12.2,synthetic
2024-06-27,UJANI-DEMO-001,Ujani Demonstration,69.5,100.0,29.12,12.63,synthetic
2024-06-28,UJANI-DEMO-001,Ujani Demonstration,75.9,100.0,39.03,10.03,synthetic
2024-06-29,UJANI-DEMO-001,Ujani Demonstration,77.8,100.0,19.35,10.89,synthetic
2024-06-30,UJANI-DEMO-001,Ujani Demonstration,81.0,100.0,23.91,9.43,synthetic
2024-07-01,UJANI-DEMO-001,Ujani Demonstration,81.3,100.0,13.36,11.73,synthetic
2024-07-02,UJANI-DEMO-001,Ujani Demonstration,83.6,100.0,22.19,11.88,synthetic
2024-07-03,UJANI-DEMO-001,Ujani Demonstration,87.0,100.0,26.8,11.31,synthetic
2024-07-04,UJANI-DEMO-001,Ujani Demonstration,88.5,100.0,16.9,10.31,synthetic
2024-07-05,UJANI-DEMO-001,Ujani Demonstration,95.4,100.0,42.32,10.64,synthetic
2024-07-06,UJANI-DEMO-001,Ujani Demonstration,96,100.0,19.96,10.21,synthetic
2024-07-07,UJANI-DEMO-001,Ujani Demonstration,96,100.0,33.23,11.04,synthetic
2024-07-08,UJANI-DEMO-001,Ujani Demonstration,96,100.0,27.95,10.51,synthetic
2024-07-09,UJANI-DEMO-001,Ujani Demonstration,96,100.0,29.78,9.56,synthetic
2024-07-10,UJANI-DEMO-001,Ujani Demonstration,96,100.0,50.73,9.9,synthetic
2024-07-11,UJANI-DEMO-001,Ujani Demonstration,96,100.0,11.74,11.11,synthetic
2024-07-12,UJANI-DEMO-001,Ujani Demonstration,96,100.0,42.92,9.29,synthetic
2024-07-13,UJANI-DEMO-001,Ujani Demonstration,96,100.0,31.59,9.37,synthetic
2024-07-14,UJANI-DEMO-001,Ujani Demonstration,96,100.0,33.74,9.76,synthetic
2024-07-15,UJANI-DEMO-001,Ujani Demonstration,96,100.0,23.16,10.53,synthetic
2024-07-16,UJANI-DEMO-001,Ujani Demonstration,96,100.0,32.34,10.06,synthetic
2024-07-17,UJANI-DEMO-001,Ujani Demonstration,96,100.0,39.74,9.31,synthetic
2024-07-18,UJANI-DEMO-001,Ujani Demonstration,96,100.0,51.29,10.33,synthetic
2024-07-19,UJANI-DEMO-001,Ujani Demonstration,96,100.0,31.88,9.14,synthetic
2024-07-20,UJANI-DEMO-001,Ujani Demonstration,96,100.0,41.5,9.88,synthetic
2024-07-21,UJANI-DEMO-001,Ujani Demonstration,96,100.0,40.49,10.67,synthetic
2024-07-22,UJANI-DEMO-001,Ujani Demonstration,96,100.0,26.54,11.04,synthetic
2024-07-23,UJANI-DEMO-001,Ujani Demonstration,96,100.0,38.5,9.23,synthetic
2024-07-24,UJANI-DEMO-001,Ujani Demonstration,96,100.0,51.58,10.5,synthetic
2024-07-25,UJANI-DEMO-001,Ujani Demonstration,96,100.0,48.72,8.87,synthetic
2024-07-26,UJANI-DEMO-001,Ujani Demonstration,96,100.0,36.72,10.57,synthetic
2024-07-27,UJANI-DEMO-001,Ujani Demonstration,96,100.0,62.47,8.07,synthetic
2024-07-28,UJANI-DEMO-001,Ujani Demonstration,96,100.0,56.91,9.52,synthetic
2024-07-29,UJANI-DEMO-001,Ujani Demonstration,96,100.0,42.36,9.26,synthetic
2024-07-30,UJANI-DEMO-001,Ujani Demonstration,96,100.0,40.1,10.05,synthetic
2024-07-31,UJANI-DEMO-001,Ujani Demonstration,96,100.0,41.0,10.95,synthetic
2024-08-01,UJANI-DEMO-001,Ujani Demonstration,96,100.0,54.14,10.07,synthetic
2024-08-02,UJANI-DEMO-001,Ujani Demonstration,96,100.0,46.42,10.02,synthetic
2024-08-03,UJANI-DEMO-001,Ujani Demonstration,96,100.0,48.31,9.53,synthetic
2024-08-04,UJANI-DEMO-001,Ujani Demonstration,96,100.0,37.62,10.29,synthetic
2024-08-05,UJANI-DEMO-001,Ujani Demonstration,96,100.0,35.42,9.56,synthetic
2024-08-06,UJANI-DEMO-001,Ujani Demonstration,96,100.0,28.16,8.96,synthetic
2024-08-07,UJANI-DEMO-001,Ujani Demonstration,96,100.0,43.95,8.48,synthetic
2024-08-08,UJANI-DEMO-001,Ujani Demonstration,96,100.0,39.82,9.21,synthetic
2024-08-09,UJANI-DEMO-001,Ujani Demonstration,96,100.0,57.16,7.84,synthetic
2024-08-10,UJANI-DEMO-001,Ujani Demonstration,96,100.0,35.48,8.79,synthetic
2024-08-11,UJANI-DEMO-001,Ujani Demonstration,96,100.0,51.9,9.76,synthetic
2024-08-12,UJANI-DEMO-001,Ujani Demonstration,96,100.0,50.01,8.87,synthetic
2024-08-13,UJANI-DEMO-001,Ujani Demonstration,96,100.0,32.54,8.61,synthetic
2024-08-14,UJANI-DEMO-001,Ujani Demonstration,96,100.0,36.21,7.93,synthetic
2024-08-15,UJANI-DEMO-001,Ujani Demonstration,96,100.0,61.29,8.33,synthetic
2024-08-16,UJANI-DEMO-001,Ujani Demonstration,96,100.0,59.33,9.85,synthetic
2024-08-17,UJANI-DEMO-001,Ujani Demonstration,96,100.0,43.41,10.77,synthetic
2024-08-18,UJANI-DEMO-001,Ujani Demonstration,96,100.0,63.27,10.98,synthetic
2024-08-19,UJANI-DEMO-001,Ujani Demonstration,96,100.0,49.23,10.51,synthetic
2024-08-20,UJANI-DEMO-001,Ujani Demonstration,96,100.0,42.42,9.34,synthetic
2024-08-21,UJANI-DEMO-001,Ujani Demonstration,96,100.0,40.99,8.66,synthetic
2024-08-22,UJANI-DEMO-001,Ujani Demonstration,96,100.0,44.88,10.07,synthetic
2024-08-23,UJANI-DEMO-001,Ujani Demonstration,96,100.0,38.81,8.55,synthetic
2024-08-24,UJANI-DEMO-001,Ujani Demonstration,96,100.0,60.08,9.71,synthetic
2024-08-25,UJANI-DEMO-001,Ujani Demonstration,96,100.0,47.16,10.05,synthetic
2024-08-26,UJANI-DEMO-001,Ujani Demonstration,96,100.0,48.66,8.24,synthetic
2024-08-27,UJANI-DEMO-001,Ujani Demonstration,96,100.0,45.5,9.69,synthetic
2024-08-28,UJANI-DEMO-001,Ujani Demonstration,96,100.0,53.3,8.35,synthetic
2024-08-29,UJANI-DEMO-001,Ujani Demonstration,96,100.0,57.4,10.24,synthetic
2024-08-30,UJANI-DEMO-001,Ujani Demonstration,96,100.0,43.61,9.45,synthetic
2024-08-31,UJANI-DEMO-001,Ujani Demonstration,96,100.0,32.87,8.08,synthetic
2024-09-01,UJANI-DEMO-001,Ujani Demonstration,96,100.0,42.44,11.25,synthetic
2024-09-02,UJANI-DEMO-001,Ujani Demonstration,96,100.0,44.4,9.87,synthetic
2024-09-03,UJANI-DEMO-001,Ujani Demonstration,96,100.0,48.56,8.86,synthetic
2024-09-04,UJANI-DEMO-001,Ujani Demonstration,96,100.0,61.02,8.5,synthetic
2024-09-05,UJANI-DEMO-001,Ujani Demonstration,96,100.0,49.04,9.1,synthetic
2024-09-06,UJANI-DEMO-001,Ujani Demonstration,96,100.0,51.85,10.05,synthetic
2024-09-07,UJANI-DEMO-001,Ujani Demonstration,96,100.0,63.64,11.12,synthetic
2024-09-08,UJANI-DEMO-001,Ujani Demonstration,96,100.0,41.44,10.53,synthetic
2024-09-09,UJANI-DEMO-001,Ujani Demonstration,96,100.0,52.39,9.42,synthetic
2024-09-10,UJANI-DEMO-001,Ujani Demonstration,96,100.0,68.27,8.81,synthetic
2024-09-11,UJANI-DEMO-001,Ujani Demonstration,96,100.0,45.43,10.98,synthetic
2024-09-12,UJANI-DEMO-001,Ujani Demonstration,96,100.0,48.66,9.8,synthetic
2024-09-13,UJANI-DEMO-001,Ujani Demonstration,96,100.0,39.55,10.08,synthetic
2024-09-14,UJANI-DEMO-001,Ujani Demonstration,96,100.0,39.0,11.13,synthetic
2024-09-15,UJANI-DEMO-001,Ujani Demonstration,96,100.0,30.34,11.7,synthetic
2024-09-16,UJANI-DEMO-001,Ujani Demonstration,96,100.0,58.88,9.71,synthetic
2024-09-17,UJANI-DEMO-001,Ujani Demonstration,96,100.0,22.04,9.28,synthetic
2024-09-18,UJANI-DEMO-001,Ujani Demonstration,96,100.0,52.5,9.99,synthetic
2024-09-19,UJANI-DEMO-001,Ujani Demonstration,96,100.0,59.95,10.76,synthetic
2024-09-20,UJANI-DEMO-001,Ujani Demonstration,96,100.0,34.56,10.11,synthetic
2024-09-21,UJANI-DEMO-001,Ujani Demonstration,96,100.0,48.55,10.04,synthetic
2024-09-22,UJANI-DEMO-001,Ujani Demonstration,96,100.0,53.25,8.69,synthetic
2024-09-23,UJANI-DEMO-001,Ujani Demonstration,96,100.0,47.32,9.51,synthetic
2024-09-24,UJANI-DEMO-001,Ujani Demonstration,96,100.0,51.9,9.75,synthetic
2024-09-25,UJANI-DEMO-001,Ujani Demonstration,96,100.0,32.96,10.83,synthetic
2024-09-26,UJANI-DEMO-001,Ujani Demonstration,96,100.0,41.17,9.8,synthetic
2024-09-27,UJANI-DEMO-001,Ujani Demonstration,96,100.0,35.73,9.15,synthetic
2024-09-28,UJANI-DEMO-001,Ujani Demonstration,96,100.0,52.94,9.5,synthetic
2024-09-29,UJANI-DEMO-001,Ujani Demonstration,96,100.0,44.49,9.44,synthetic
2024-09-30,UJANI-DEMO-001,Ujani Demonstration,96,100.0,35.41,10.56,synthetic
2024-10-01,UJANI-DEMO-001,Ujani Demonstration,96,100.0,56.52,10.98,synthetic
2024-10-02,UJANI-DEMO-001,Ujani Demonstration,96,100.0,25.18,9.89,synthetic
2024-10-03,UJANI-DEMO-001,Ujani Demonstration,96,100.0,34.01,10.01,synthetic
2024-10-04,UJANI-DEMO-001,Ujani Demonstration,96,100.0,56.17,8.42,synthetic
2024-10-05,UJANI-DEMO-001,Ujani Demonstration,96,100.0,33.88,9.02,synthetic
2024-10-06,UJANI-DEMO-001,Ujani Demonstration,96,100.0,41.12,9.92,synthetic
2024-10-07,UJANI-DEMO-001,Ujani Demonstration,96,100.0,41.02,9.76,synthetic
2024-10-08,UJANI-DEMO-001,Ujani Demonstration,96,100.0,46.86,9.41,synthetic
2024-10-09,UJANI-DEMO-001,Ujani Demonstration,96,100.0,57.02,11.33,synthetic
2024-10-10,UJANI-DEMO-001,Ujani Demonstration,96,100.0,34.13,10.77,synthetic
